location,rejection_rate
Maryland,1.0
Port Thomasberg,1.0
Maryshire,1.0
Marytown,1.0
Masonchester,1.0
Masseyland,1.0
Matthewville,1.0
Masseyside,1.0
Mathewbury,1.0
Mathewsport,1.0
Matthewmouth,1.0
Port Tanyaton,1.0
Port Sydneyside,1.0
Port Susanside,1.0
Port Susanburgh,1.0
Matthewview,1.0
Lucasland,1.0
Rachaelbury,1.0
Loweville,1.0
Richardfort,1.0
Richardsonhaven,1.0
Richardsonchester,1.0
Larryfurt,1.0
Larryport,1.0
Larsonland,1.0
Larsonstad,1.0
Richardsfort,1.0
Richardhaven,1.0
Lauraburgh,1.0
Richardberg,1.0
Riddlemouth,1.0
Laurafurt,1.0
Rhondatown,1.0
Laurenhaven,1.0
Laurenland,1.0
Rhondaport,1.0
Laurenside,1.0
Laurentown,1.0
Rhondahaven,1.0
Rhondachester,1.0
Lambertton,1.0
Lake Williamville,1.0
Rhodesville,1.0
Lake Tiffanystad,1.0
Lake Tarashire,1.0
Lake Tashatown,1.0
Robertberg,1.0
Robbinsville,1.0
Lake Theresatown,1.0
Lake Thomasstad,1.0
Lake Tiffanyfurt,1.0
Lake Tiffanyland,1.0
Lake Tiffanymouth,1.0
Riveraside,1.0
Riggsside,1.0
Lake Tinafort,1.0
Lake Tinahaven,1.0
Lake Toni,1.0
Lake Tyler,1.0
Lake Victoria,1.0
Riosmouth,1.0
Riosfurt,1.0
Lake Virginiaport,1.0
Rileyburgh,1.0
Laurietown,1.0
Lawrencemouth,1.0
Loweryborough,1.0
Ramirezville,1.0
Rayhaven,1.0
Rasmussenville,1.0
Rangelstad,1.0
Lisafurt,1.0
Lisatown,1.0
Randyborough,1.0
Randallmouth,1.0
Ramseyport,1.0
Ramosview,1.0
Ramirezstad,1.0
Lindseyport,1.0
Longview,1.0
Ramirezside,1.0
Ralphview,1.0
Rachelville,1.0
Lorimouth,1.0
Lorraineshire,1.0
Loveberg,1.0
Rachelfurt,1.0
Rachelburgh,1.0
Lindseyshire,1.0
Lindsayview,1.0
Lawrenceton,1.0
Leonardhaven,1.0
Lawsonfort,1.0
Leahview,1.0
Leeborough,1.0
Leefurt,1.0
Reidmouth,1.0
Reginaview,1.0
Leeville,1.0
Lehaven,1.0
Reginaldfurt,1.0
Leonardville,1.0
Lindsaychester,1.0
Leshire,1.0
Lesliechester,1.0
Lestermouth,1.0
Rebeccastad,1.0
Rebeccaport,1.0
Lewiston,1.0
Lindashire,1.0
Raymondmouth,1.0
Lindsaybury,1.0
Meganburgh,1.0
Port Shelbyborough,1.0
New Jasminefurt,1.0
Megantown,1.0
New Brandonberg,1.0
Port Joshuashire,1.0
New Brandonshire,1.0
Port Josephstad,1.0
Port Jordan,1.0
New Carla,1.0
Port Jonathan,1.0
New Carmenton,1.0
New Catherinetown,1.0
New Chase,1.0
Port Joan,1.0
Port Jimmyfort,1.0
New Christie,1.0
New Christine,1.0
New Christopherberg,1.0
New Christopherland,1.0
New Claudia,1.0
Port Jeremyfort,1.0
Port Jeremyburgh,1.0
New Codyport,1.0
Port Jennifershire,1.0
New Brady,1.0
New Billytown,1.0
Port Judy,1.0
Port Kevinmouth,1.0
Port Kyle,1.0
Port Krystal,1.0
Port Kimberlyton,1.0
Port Kimberlyport,1.0
Port Kimberlyhaven,1.0
New Andreaberg,1.0
New Andreamouth,1.0
New Andreshire,1.0
New Andrewberg,1.0
New Angelashire,1.0
Port Justin,1.0
New Anthonystad,1.0
New Anthonytown,1.0
New Anthonyville,1.0
New Ashleyberg,1.0
Port Kathryn,1.0
New Austin,1.0
Port Karenmouth,1.0
New Barbarachester,1.0
New Barry,1.0
New Daisy,1.0
New Danaton,1.0
Port Jasonburgh,1.0
New Haley,1.0
New Erikahaven,1.0
New Evan,1.0
Port Gabriellehaven,1.0
New Gabriel,1.0
New Gary,1.0
Port Frankland,1.0
New Gloria,1.0
New Grantbury,1.0
Port Ethan,1.0
New Harold,1.0
Port Gregory,1.0
Port Ericafort,1.0
Port Ericaborough,1.0
New Hunter,1.0
New Isaacbury,1.0
New Jack,1.0
New Jacobborough,1.0
New Jamesberg,1.0
Port Emilyside,1.0
New Jamiechester,1.0
New Erik,1.0
Port Gregoryborough,1.0
New Danielchester,1.0
Port Jake,1.0
New Danielle,1.0
New Darleneside,1.0
Port Jasminehaven,1.0
Port Jared,1.0
Port Janicehaven,1.0
New Davidland,1.0
Port Jamesview,1.0
Port Jamesstad,1.0
New Deborahville,1.0
Port Hollyburgh,1.0
New Emilymouth,1.0
New Douglastown,1.0
Port Hector,1.0
Port Heathermouth,1.0
Port Heather,1.0
New Edwardville,1.0
Port Hannah,1.0
New Elizabeth,1.0
Port Gregorystad,1.0
Port Gregoryfurt,1.0
Port Kyleshire,1.0
New Aliciachester,1.0
Port Lauriemouth,1.0
Port Rebeccamouth,1.0
Port Russellburgh,1.0
Michellefort,1.0
Michelleport,1.0
Port Robert,1.0
Michelletown,1.0
Port Richardmouth,1.0
Miguelfurt,1.0
Port Reginaldmouth,1.0
Millerchester,1.0
Port Rebecca,1.0
Port Russellmouth,1.0
Port Randyton,1.0
Port Randy,1.0
Mirandachester,1.0
Port Rachelfort,1.0
Mistyport,1.0
Mitchellberg,1.0
Mitchellbury,1.0
Mitchellchester,1.0
Mitchellland,1.0
Michaelside,1.0
Port Samantha,1.0
Port Peggyport,1.0
Melodyview,1.0
Meghanland,1.0
Port Sharonborough,1.0
Port Sharon,1.0
Melaniemouth,1.0
Melanieport,1.0
Melanieton,1.0
Port Selenastad,1.0
Melissahaven,1.0
Melodyfort,1.0
Meltonbury,1.0
Port Sarahfort,1.0
Mendezburgh,1.0
Mendezmouth,1.0
Mendozaborough,1.0
Mendozafurt,1.0
Mendozaland,1.0
Mercerhaven,1.0
Port Savannah,1.0
Port Sarastad,1.0
Mezaborough,1.0
Port Phillipfort,1.0
Mollyberg,1.0
Port Lawrence,1.0
Natalieside,1.0
Port Michelechester,1.0
Port Michaelview,1.0
Port Meganfort,1.0
Murphyview,1.0
Myerschester,1.0
Myershaven,1.0
Port Matthewbury,1.0
Natalieberg,1.0
Natalieburgh,1.0
Port Mary,1.0
Port Micheleton,1.0
Nathanhaven,1.0
Port Markland,1.0
Navarroport,1.0
Navarroview,1.0
Nelsonburgh,1.0
New Aaron,1.0
New Adam,1.0
Port Lindaburgh,1.0
Port Leonchester,1.0
Mullenmouth,1.0
Port Michellestad,1.0
Port Paulfurt,1.0
Morganberg,1.0
Port Paul,1.0
Monicaville,1.0
Moniquefurt,1.0
Port Nicoleside,1.0
Moonhaven,1.0
Port Nicholaston,1.0
Moorestad,1.0
Moranhaven,1.0
Morantown,1.0
Morganborough,1.0
Morrowville,1.0
Morganfort,1.0
Morganton,1.0
Port Mollyland,1.0
Morrishaven,1.0
Port Misty,1.0
Morrisstad,1.0
Morriston,1.0
Morristown,1.0
Morrisview,1.0
Tanyamouth,1.0
Johnton,1.0
North Melanie,1.0
West Blake,1.0
West Bradleyfurt,1.0
Barryburgh,1.0
West Vanessabury,1.0
Barrettton,1.0
West Victoria,1.0
Barnettshire,1.0
West Beverly,1.0
Calderonfurt,1.0
Douglasstad,1.0
Douglaston,1.0
West Benjaminbury,1.0
West Benjaminberg,1.0
West Barbarabury,1.0
Draketown,1.0
Doriston,1.0
Donnaview,1.0
Donnaport,1.0
Donnamouth,1.0
West Brandiville,1.0
West Vanessa,1.0
Donnachester,1.0
West Tyler,1.0
West Trevorhaven,1.0
Donaldville,1.0
West Brendamouth,1.0
Donaldshire,1.0
Baxterburgh,1.0
Donaldmouth,1.0
Donaldland,1.0
Donaldhaven,1.0
Donaldborough,1.0
Duarteport,1.0
Dudleyview,1.0
West Briana,1.0
East Alexisshire,1.0
Dyertown,1.0
East Albertshire,1.0
West Andrewshire,1.0
West Zacharyland,1.0
Bakerfort,1.0
East Alexis,1.0
West Andre,1.0
Duffyport,1.0
Bakerberg,1.0
Baileychester,1.0
West Amber,1.0
East Allisonland,1.0
Baileyborough,1.0
Baileyberg,1.0
West Angelastad,1.0
Bakerside,1.0
West Yvonneland,1.0
Bakerview,1.0
Baldwinland,1.0
West Willie,1.0
West Williammouth,1.0
Ballardview,1.0
West Anthonytown,1.0
Dunnfurt,1.0
West Williamborough,1.0
Duncanville,1.0
West Wanda,1.0
Barberfort,1.0
West Austintown,1.0
West Virginia,1.0
Duncanchester,1.0
Dominiquebury,1.0
West Todd,1.0
Blackwellberg,1.0
West Christianport,1.0
Deantown,1.0
Bettymouth,1.0
Deborahberg,1.0
West Christinebury,1.0
Debraborough,1.0
Debraview,1.0
West Susanburgh,1.0
West Cassandra,1.0
West Christian,1.0
Bergborough,1.0
Delgadoton,1.0
Deniseberg,1.0
West Susantown,1.0
West Catherinestad,1.0
West Stacyfort,1.0
Billyland,1.0
West Sheritown,1.0
Dayview,1.0
Daytown,1.0
West Cindyburgh,1.0
Dawsonborough,1.0
West Cody,1.0
Bishoptown,1.0
Dawnbury,1.0
Davisview,1.0
Blackburnborough,1.0
West Courtneyfurt,1.0
West Shawnborough,1.0
West Craigstad,1.0
Davisshire,1.0
Blackburnville,1.0
West Cassandrabury,1.0
Dennisbury,1.0
Dodsonview,1.0
West Timothybury,1.0
West Thomasside,1.0
West Bruce,1.0
Diazfort,1.0
West Tiffanyfurt,1.0
Beckytown,1.0
West Brittanyton,1.0
Beckerburgh,1.0
West Carolberg,1.0
West Timothyhaven,1.0
Dillonshire,1.0
Dixonhaven,1.0
West Brianland,1.0
Dixonstad,1.0
Dodsontown,1.0
Beltranbury,1.0
Dianastad,1.0
West Thomasbury,1.0
West Thomas,1.0
Dianaburgh,1.0
West Teresaberg,1.0
Devinside,1.0
West Caleb,1.0
Desireeland,1.0
Derrickchester,1.0
West Cameronfort,1.0
West Tammieshire,1.0
Derekside,1.0
Bennettbury,1.0
Derekland,1.0
Derekhaven,1.0
West Carlview,1.0
Ayalastad,1.0
Westview,1.0
West Aliciaberg,1.0
Anneland,1.0
Waltersview,1.0
Williamshaven,1.0
East Curtisshire,1.0
Waltersport,1.0
East Cynthiahaven,1.0
East Dan,1.0
East Danielle,1.0
East Deborah,1.0
Anneburgh,1.0
Annaburgh,1.0
East Davidfort,1.0
East Davidstad,1.0
Anitabury,1.0
East Davidton,1.0
Waltonbury,1.0
Annetteshire,1.0
Annetteside,1.0
Annetteview,1.0
Wangtown,1.0
Wardshire,1.0
East Christyfort,1.0
Annmouth,1.0
Annview,1.0
East Christopherburgh,1.0
Warrenborough,1.0
East Christinefurt,1.0
Waterschester,1.0
Anthonychester,1.0
East Charlesshire,1.0
Watkinsfurt,1.0
Williamport,1.0
East Dawnport,1.0
Wallerton,1.0
East Amandaton,1.0
Wagnerberg,1.0
Walkerburgh,1.0
Wagnerville,1.0
East Emilyfort,1.0
East Emilymouth,1.0
East Emmaside,1.0
East Eric,1.0
East Erik,1.0
East Debra,1.0
Andrestown,1.0
East Ernestland,1.0
Andreside,1.0
Villanuevastad,1.0
East Eugene,1.0
East Evanport,1.0
Williamview,1.0
Walkerport,1.0
Walkershire,1.0
East Edwintown,1.0
Andrewstad,1.0
East Dustinport,1.0
Williamstad,1.0
Angelaberg,1.0
Angelaborough,1.0
East Donaldfort,1.0
East Dillonland,1.0
Angelashire,1.0
East Diane,1.0
Wallacefurt,1.0
East Desiree,1.0
East Derek,1.0
Wallacestad,1.0
East Chadtown,1.0
East Cassietown,1.0
East Caseyside,1.0
East Aprilburgh,1.0
Wendyton,1.0
Whitemouth,1.0
East Anthonyview,1.0
Ashleyhaven,1.0
East Anthonyville,1.0
Whiteshire,1.0
Wendyside,1.0
East Carolyn,1.0
Arthurhaven,1.0
Wigginsbury,1.0
East Ashleyshire,1.0
Wellsville,1.0
Wilcoxberg,1.0
Wellsfurt,1.0
East Anthonyshire,1.0
East Annette,1.0
East Annehaven,1.0
Wesleymouth,1.0
East Annafurt,1.0
West Aaron,1.0
Atkinsonborough,1.0
Atkinsonview,1.0
Atkinsshire,1.0
Whitehaven,1.0
Whitebury,1.0
West Alexanderton,1.0
West Alexandra,1.0
East Amymouth,1.0
East Amychester,1.0
Austinland,1.0
Wheelerbury,1.0
East Benjaminview,1.0
East Bethstad,1.0
East Bethview,1.0
Antoniomouth,1.0
Anthonyshire,1.0
East Carol,1.0
East Carmenport,1.0
East Carly,1.0
Watsontown,1.0
Wattsburgh,1.0
East Cameron,1.0
Williamfort,1.0
East Bryce,1.0
Williambury,1.0
East Bruceberg,1.0
Weaverfort,1.0
East Briannaville,1.0
East Briannaside,1.0
Antonioshire,1.0
Wellsburgh,1.0
Aprilborough,1.0
Weberport,1.0
Weeksbury,1.0
Weeksfort,1.0
East Brandon,1.0
East Brandiland,1.0
East Bradleyton,1.0
Wilkersonberg,1.0
Armstrongbury,1.0
Armstrongchester,1.0
East Blakemouth,1.0
Armstrongstad,1.0
East Billyfurt,1.0
East Billy,1.0
Blackbury,1.0
West Curtisborough,1.0
East Frank,1.0
West Julia,1.0
Brucemouth,1.0
Chavezville,1.0
Brownville,1.0
Cherylborough,1.0
Cherylburgh,1.0
Cherylbury,1.0
West Joyce,1.0
West Josestad,1.0
West Joshuaton,1.0
Cheyennefort,1.0
West Monica,1.0
West Joshua,1.0
Brownside,1.0
Chrisfort,1.0
Chavezside,1.0
Chasemouth,1.0
West Mikaylastad,1.0
West Karina,1.0
Bryanbury,1.0
West Kathleen,1.0
Charlesshire,1.0
Bryanmouth,1.0
Charlesland,1.0
Charlesfurt,1.0
West Michelleside,1.0
West Michellemouth,1.0
Charlesbury,1.0
Charlenefort,1.0
Bryantborough,1.0
Charlenechester,1.0
Chapmanbury,1.0
Christensenport,1.0
West Joseport,1.0
Chanland,1.0
Brooksfurt,1.0
Cindyberg,1.0
West Nicole,1.0
Brooksville,1.0
Cindyburgh,1.0
Cindybury,1.0
Brooksshire,1.0
Clairemouth,1.0
Brownport,1.0
West Joanna,1.0
West Oliviaton,1.0
West Jillborough,1.0
West Jesus,1.0
Clarkeburgh,1.0
Brookemouth,1.0
Chungland,1.0
Brownborough,1.0
West Joeside,1.0
Christopherside,1.0
Brownchester,1.0
Christopherport,1.0
West Nicholasside,1.0
West Johnathan,1.0
West Johnborough,1.0
Christinefurt,1.0
Christinashire,1.0
Christinaport,1.0
West Jose,1.0
Christinaborough,1.0
Christiemouth,1.0
West Morgan,1.0
West Josephtown,1.0
West Kaylee,1.0
Changview,1.0
Davisbury,1.0
Cardenasborough,1.0
Cantrellhaven,1.0
Butlerstad,1.0
Cantrellton,1.0
Cantubury,1.0
Butlerborough,1.0
Bushton,1.0
West Melissafurt,1.0
Carneychester,1.0
Bushhaven,1.0
Careychester,1.0
Burnsview,1.0
Burnsfort,1.0
West Lucas,1.0
Carlsonchester,1.0
West Melanie,1.0
West Maria,1.0
Butlerview,1.0
Campbellville,1.0
Campbellshire,1.0
West Matthewville,1.0
Campbellchester,1.0
West Markmouth,1.0
Cameronfurt,1.0
Calvintown,1.0
Calvinshire,1.0
Calvinfort,1.0
Caitlinborough,1.0
West Matthewshire,1.0
Callahanmouth,1.0
Calebland,1.0
Caldwellport,1.0
West Mialand,1.0
West Lorichester,1.0
Chanfurt,1.0
Catherinebury,1.0
Cassandraville,1.0
Burchmouth,1.0
West Michealmouth,1.0
Castilloland,1.0
West Kimberlyfort,1.0
Buckleyfort,1.0
Catherinefurt,1.0
West Lori,1.0
Catherinemouth,1.0
Catherineshire,1.0
West Kevinchester,1.0
West Micheleberg,1.0
West Kellymouth,1.0
West Kellyhaven,1.0
West Kyleton,1.0
Cassandrachester,1.0
Caseyberg,1.0
Burgessbury,1.0
West Laura,1.0
West Laurenborough,1.0
West Laurenchester,1.0
Carterfort,1.0
West Lauriebury,1.0
West Michaelburgh,1.0
West Lawrenceberg,1.0
West Linda,1.0
Carpentershire,1.0
West Lisaburgh,1.0
West Lisamouth,1.0
Burketon,1.0
Burkeview,1.0
West Jessicaburgh,1.0
Clarketown,1.0
Clarkland,1.0
West Donaldberg,1.0
Bradleybury,1.0
West Douglas,1.0
Cynthiafurt,1.0
Cynthiamouth,1.0
Bradhaven,1.0
West Donnaport,1.0
West Dianamouth,1.0
Daniellehaven,1.0
West Samanthamouth,1.0
Danaview,1.0
West Derrick,1.0
Danielfort,1.0
Boydbury,1.0
West Deanborough,1.0
Bradleyfurt,1.0
West Edwardville,1.0
Bradville,1.0
Bradyfort,1.0
West Elizabethfort,1.0
Brandiland,1.0
West Rodneyhaven,1.0
Cunninghamstad,1.0
Cummingsmouth,1.0
Cummingsburgh,1.0
Crystaltown,1.0
Brandonchester,1.0
Crystalhaven,1.0
Crystalchester,1.0
Crystalbury,1.0
Cruzville,1.0
West Elizabethshire,1.0
Daniellebury,1.0
Danielleland,1.0
West Jeremymouth,1.0
Davidsonland,1.0
West Seanfort,1.0
Daughertyburgh,1.0
Daveburgh,1.0
Davidland,1.0
West Danielshire,1.0
West Danielleside,1.0
West Shannon,1.0
West Dawn,1.0
West Danielfurt,1.0
Blakehaven,1.0
West Shannonbury,1.0
Blairside,1.0
West Daltonbury,1.0
West Shawnafort,1.0
Darrenfurt,1.0
Darrenfort,1.0
Darrellview,1.0
Darrellchester,1.0
Blankenshipchester,1.0
Darlenetown,1.0
West Dannyport,1.0
West Scottbury,1.0
Danielston,1.0
Bonillaville,1.0
Bonniefort,1.0
Bonniestad,1.0
Danielport,1.0
Danielmouth,1.0
Danielletown,1.0
West Sarahside,1.0
Boothstad,1.0
West Elizabethtown,1.0
Crosstown,1.0
West Emily,1.0
Bridgethaven,1.0
Colemanview,1.0
West Jared,1.0
Colinview,1.0
Colleenfort,1.0
Briggschester,1.0
Collierborough,1.0
West Rachael,1.0
Crawfordmouth,1.0
Brianstad,1.0
Brianshire,1.0
West Jacobburgh,1.0
West Jacob,1.0
Briannaport,1.0
Briannafurt,1.0
Colemanstad,1.0
Colemanside,1.0
Colemanhaven,1.0
Brittanyberg,1.0
Colemanfort,1.0
Brittanyburgh,1.0
Coleland,1.0
Colefort,1.0
Cohenburgh,1.0
West Jefferybury,1.0
West Jefferytown,1.0
West Paulaville,1.0
Cochranborough,1.0
Brittneyton,1.0
Brockmouth,1.0
Claytonchester,1.0
West Jeremy,1.0
West Rachelside,1.0
West Racheltown,1.0
West Hollyfurt,1.0
Cowanberg,1.0
West Robertborough,1.0
Brandtborough,1.0
Craneland,1.0
Craigview,1.0
Craigstad,1.0
Craigside,1.0
Craigshire,1.0
Craigland,1.0
Brandyton,1.0
Braunburgh,1.0
Coxmouth,1.0
Coxchester,1.0
Braunfort,1.0
Cowanstad,1.0
Breannashire,1.0
Connerburgh,1.0
Brendanview,1.0
West Rickyborough,1.0
West Richardhaven,1.0
Cortezville,1.0
West Reneeton,1.0
Brentville,1.0
Coreytown,1.0
Brettbury,1.0
West Felicialand,1.0
Brianafurt,1.0
West Heather,1.0
West Heatherborough,1.0
Connorville,1.0
West Heathermouth,1.0
Andreastad,1.0
Duarteville,1.0
Timtown,1.0
East Kylieview,1.0
East Richardshire,1.0
East Jeanmouth,1.0
Vickihaven,1.0
East Kurtport,1.0
Vickieton,1.0
East Jessicamouth,1.0
East Michelletown,1.0
Thomaschester,1.0
East Jill,1.0
Tranbury,1.0
East Michelleville,1.0
Tracytown,1.0
Alanshire,1.0
East Richard,1.0
Woodsfort,1.0
Tuckerport,1.0
East Jasonview,1.0
East Laurafort,1.0
Toddfort,1.0
Valenzuelaland,1.0
Tiffanymouth,1.0
Valenzuelafurt,1.0
East Reneehaven,1.0
East Morganview,1.0
Tranmouth,1.0
Andersonstad,1.0
Ambershire,1.0
Timburgh,1.0
East Kim,1.0
Zacharyshire,1.0
East Robertfort,1.0
Andersonfort,1.0
East Kimberly,1.0
East Robertburgh,1.0
East Kimberlyborough,1.0
Toddbury,1.0
Zacharyland,1.0
Amandaside,1.0
Amberton,1.0
Wongland,1.0
East Josephland,1.0
East Jesse,1.0
Xavierstad,1.0
East Kimberlymouth,1.0
Andersontown,1.0
Woodville,1.0
East Kimport,1.0
East Manuel,1.0
East Malik,1.0
East Ritafort,1.0
Vasquezberg,1.0
East Jodifort,1.0
East Nancy,1.0
Vargastown,1.0
Allentown,1.0
Vegatown,1.0
Thorntonside,1.0
Alexanderville,1.0
Thompsonburgh,1.0
Alexanderchester,1.0
Wilsonview,1.0
Alexanderfurt,1.0
East Nicoleshire,1.0
East Jaredland,1.0
Valenciachester,1.0
East Oliviaburgh,1.0
Traciborough,1.0
East Mackenzieborough,1.0
Vaughanview,1.0
East Janethaven,1.0
Andersonhaven,1.0
East Paulaside,1.0
Vaughnborough,1.0
East Jamesfort,1.0
Vaughnmouth,1.0
Andersonchester,1.0
East Pamela,1.0
Thompsontown,1.0
Valdezhaven,1.0
Allenville,1.0
Tiffanyburgh,1.0
Allisonberg,1.0
Torresfort,1.0
East Nataliebury,1.0
East Rachelstad,1.0
Woodsside,1.0
Valentinetown,1.0
Thomaston,1.0
East Jonathanstad,1.0
Youngbury,1.0
East Nathanielville,1.0
East Phillipmouth,1.0
Youngview,1.0
Tiffanyfurt,1.0
Youngport,1.0
East Jonathan,1.0
Amyview,1.0
Alisonshire,1.0
Wolfville,1.0
Tommyside,1.0
Tonyport,1.0
Wyattborough,1.0
East Nicholasburgh,1.0
Andersenland,1.0
East Phillipchester,1.0
East Jacobton,1.0
Zacharyside,1.0
Zacharyport,1.0
Alvarezburgh,1.0
East Sarahshire,1.0
East Seanhaven,1.0
East Melissaberg,1.0
Zimmermanfurt,1.0
East Melissaborough,1.0
Tinafurt,1.0
Timothyside,1.0
Amandafurt,1.0
East Scotthaven,1.0
Aliceshire,1.0
Turnershire,1.0
East Jenniferfurt,1.0
East Justinport,1.0
Trevormouth,1.0
East Kellichester,1.0
Acevedofurt,1.0
Andreaborough,1.0
East Kevintown,1.0
East Sarahchester,1.0
Vargasland,1.0
Acevedoton,1.0
Alicemouth,1.0
Andreaberg,1.0
East Katrina,1.0
Yeseniastad,1.0
Zavalafurt,1.0
East Kathyview,1.0
Tashamouth,1.0
East Katherine,1.0
East Marytown,1.0
East Sheila,1.0
Alishaton,1.0
East Kathleenbury,1.0
East Frederick,1.0
Wrightborough,1.0
East Sharon,1.0
East Gary,1.0
East Shannonton,1.0
East Kaitlynchester,1.0
Wilsonland,1.0
East Garyfurt,1.0
East Karaside,1.0
East Seanville,1.0
East Seanside,1.0
East Martha,1.0
Amyborough,1.0
Woodwardmouth,1.0
East Meganmouth,1.0
Victorshire,1.0
East Jeffreychester,1.0
East Sarahport,1.0
Taylorville,1.0
East Marissa,1.0
East Samuel,1.0
Adamsburgh,1.0
Amberville,1.0
Toddburgh,1.0
Yodertown,1.0
East Mariaside,1.0
East Ryanview,1.0
Victoriaside,1.0
Trantown,1.0
East Mariahbury,1.0
East Hayden,1.0
Yolandaville,1.0
Wrightland,1.0
Territown,1.0
Zacharyton,1.0
Zacharystad,1.0
East Heatherchester,1.0
Theresamouth,1.0
Theresashire,1.0
Tylerland,1.0
Transide,1.0
Valeriemouth,1.0
Vegashire,1.0
Valerietown,1.0
Traviston,1.0
Adamsborough,1.0
East Kendraview,1.0
Victoriashire,1.0
Alyssastad,1.0
East Michele,1.0
Alyssaland,1.0
East Michaelton,1.0
Zamorahaven,1.0
Timothyborough,1.0
Adamchester,1.0
Smithshire,0.8333333333333334
Michaeltown,0.8
West Michelle,0.8
New Richard,0.75
West William,0.75
Port Lisa,0.75
Jonesmouth,0.75
Michaelburgh,0.75
South Justin,0.75
Port Patricia,0.75
New Jennifer,0.7142857142857143
Johnsonburgh,0.7142857142857143
East Anna,0.6666666666666666
Robertton,0.6666666666666666
Amyland,0.6666666666666666
East Lisa,0.6666666666666666
East Mary,0.6666666666666666
West Scott,0.6666666666666666
Johnville,0.6666666666666666
Port Joseph,0.6666666666666666
North Tyler,0.6666666666666666
East Michelle,0.6666666666666666
Brianmouth,0.6666666666666666
Crystalfort,0.6666666666666666
Amyhaven,0.6666666666666666
New Charles,0.6666666666666666
North Jose,0.6666666666666666
South George,0.6666666666666666
Ashleyside,0.6666666666666666
Danielville,0.6666666666666666
East Melissa,0.6666666666666666
Karenbury,0.6666666666666666
Rodriguezmouth,0.6666666666666666
New Anthony,0.6666666666666666
West Patricia,0.6666666666666666
Kimberlyfurt,0.6666666666666666
West Christina,0.6666666666666666
Kimberlytown,0.6666666666666666
Martinbury,0.6666666666666666
Jasonchester,0.6666666666666666
Shaneview,0.6666666666666666
Markport,0.6666666666666666
Markhaven,0.6666666666666666
Elizabethchester,0.6666666666666666
Davismouth,0.6666666666666666
North Alyssa,0.6666666666666666
New Kevin,0.6666666666666666
Andersonport,0.6666666666666666
North David,0.6666666666666666
Wrightton,0.6666666666666666
South Michaelberg,0.6666666666666666
East Christopher,0.6666666666666666
East Robert,0.6666666666666666
Thomasborough,0.6666666666666666
Nathanburgh,0.6666666666666666
East Heather,0.6666666666666666
North Susan,0.6666666666666666
East Gabrielle,0.6666666666666666
New Rachel,0.6666666666666666
West Brittany,0.6666666666666666
Smithborough,0.6666666666666666
South Alicia,0.6666666666666666
South Scott,0.6666666666666666
West Melissa,0.6666666666666666
Micheleville,0.6666666666666666
Wilsonport,0.6666666666666666
Amandamouth,0.6666666666666666
Greenburgh,0.6666666666666666
Andersonville,0.6666666666666666
Hernandezmouth,0.6666666666666666
South Julie,0.6666666666666666
Williamschester,0.6666666666666666
Thomasbury,0.6666666666666666
Kellyside,0.6666666666666666
Lake Jason,0.6666666666666666
Port Karen,0.6666666666666666
Wrightville,0.6666666666666666
West Cynthia,0.6666666666666666
East Charles,0.6666666666666666
Ramosfurt,0.6666666666666666
Jennifertown,0.6666666666666666
Scottberg,0.6666666666666666
New Ashley,0.6666666666666666
New Karen,0.6666666666666666
New Kelly,0.6666666666666666
East Michael,0.625
Lake Joshua,0.6
New Daniel,0.6
North Richard,0.6
Smithtown,0.6
Richardmouth,0.6
New James,0.5714285714285714
Lake James,0.5714285714285714
Johnsonmouth,0.5714285714285714
North Eric,0.5714285714285714
East James,0.5454545454545454
Danielchester,0.5
Lake Chase,0.5
Davisberg,0.5
New Justin,0.5
Lake Luis,0.5
Gomezberg,0.5
West Denise,0.5
Russellmouth,0.5
Port Brent,0.5
Davidsonhaven,0.5
Ryanland,0.5
Gloriamouth,0.5
Lake Matthewberg,0.5
New Jill,0.5
Garciaburgh,0.5
Lake Christine,0.5
Scottport,0.5
West Dana,0.5
Gonzalezhaven,0.5
Lake Jonathan,0.5
Franciscoville,0.5
Port Elizabeth,0.5
Port Ann,0.5
Amandaburgh,0.5
Sarahmouth,0.5
Lake Johnny,0.5
Bradleyhaven,0.5
Cynthiaburgh,0.5
New Melissa,0.5
Lake John,0.5
South Sandra,0.5
West Ryantown,0.5
Port Ashley,0.5
Ryanstad,0.5
Gonzalezburgh,0.5
Lake Jodi,0.5
Lake Carlos,0.5
Lake Daniel,0.5
East Kevin,0.5
Lake Danielle,0.5
Allisonview,0.5
North Jennifer,0.5
Samuelmouth,0.5
Lake Kimberly,0.5
Sanchezmouth,0.5
Davisfort,0.5
New Kimberlyfort,0.5
Lake Heather,0.5
Scottfurt,0.5
Davisland,0.5
Lake Ivan,0.5
Danielstad,0.5
New Joshuafurt,0.5
West Courtney,0.5
North Sean,0.5
Lake Katherine,0.5
Seanland,0.5
Toddside,0.5
West Crystal,0.5
Darleneville,0.5
Seanberg,0.5
Port Crystal,0.5
Davidstad,0.5
South Shawn,0.5
New Mark,0.5
Davidborough,0.5
Sabrinaport,0.5
North Jeffery,0.5
Port Bruce,0.5
Port Bryan,0.5
Port Cody,0.5
Davidberg,0.5
North Sharon,0.5
Lake Juliestad,0.5
Boonemouth,0.5
Samuelborough,0.5
New Mariamouth,0.5
New Maria,0.5
South Teresa,0.5
Lake Donald,0.5
Lake Edward,0.5
