accident_id,accident_date,location,severity
A002340,2023-12-31,West Jonathan,Moderate
A002341,2023-05-13,Leahview,Moderate
A002342,2024-12-05,Fisherland,Moderate
A002343,2023-11-03,West Cynthia,Moderate
A002344,2023-12-28,New Peggy,Severe
A002345,2025-02-14,Port Robertstad,Moderate
A002346,2025-01-23,Lindsayland,Moderate
A002347,2023-10-01,New Jasonchester,Minor
A002348,2023-11-21,Wellsland,Minor
A002349,2024-05-21,Davidtown,Minor
A002350,2023-05-17,Stephenstad,Severe
A002351,2023-04-26,Heathermouth,Minor
A002352,2024-10-12,Ellisview,Moderate
A002353,2023-07-20,Dustinberg,Moderate
A002354,2024-08-22,North Jessica,Severe
A002355,2023-05-03,Carpenterborough,Moderate
A002356,2024-10-08,Lake Jason,Minor
A002357,2023-11-24,Luisstad,Moderate
A002358,2024-08-01,Lake Samanthachester,Severe
A002359,2024-06-21,South Dylan,Moderate
A002360,2023-10-20,New Charles,Minor
A002361,2023-04-11,East Paula,Moderate
A002362,2024-05-20,East Anthonyfort,Severe
A002363,2024-08-17,Mckenziehaven,Severe
A002364,2023-04-08,East Danielport,Minor
A002365,2024-01-08,Carterfurt,Minor
A002366,2023-04-14,Kyleville,Moderate
A002367,2024-08-20,Brandyberg,Severe
A002368,2024-07-12,Garciaville,Moderate
A002369,2024-11-12,New Geraldfort,Moderate
A002370,2024-02-23,Blankenshipport,Severe
A002371,2023-07-06,New Danaton,Minor
A002372,2023-03-31,East Blakemouth,Minor
A002373,2024-08-05,Mollymouth,Severe
A002374,2023-09-16,East Alicebury,Moderate
A002375,2024-03-31,New Eric,Moderate
A002376,2023-10-30,East Angela,Moderate
A002377,2025-02-01,Morrisborough,Severe
A002378,2024-10-20,Guzmantown,Moderate
A002379,2024-05-10,Justinview,Minor
A002380,2023-03-30,Bushton,Moderate
A002381,2023-03-29,Lestermouth,Severe
A002382,2023-03-05,West Andrewmouth,Moderate
A002383,2024-09-22,East Matthew,Minor
A002384,2023-11-20,Brentfurt,Moderate
A002385,2024-09-23,Andersonborough,Minor
A002386,2024-08-25,Morganton,Moderate
A002387,2024-06-24,Wilsonhaven,Severe
A002388,2025-02-05,Cervantesstad,Severe
A002389,2023-08-28,West David,Severe
A002390,2023-04-02,Billyland,Severe
A002391,2024-12-17,Millerburgh,Minor
A002392,2025-02-11,Laurieshire,Minor
A002393,2024-07-02,Port Zachary,Severe
A002394,2023-10-12,South Matthew,Moderate
A002395,2024-05-30,Cherylstad,Severe
A002396,2024-11-23,East Kathleenbury,Moderate
A002397,2024-11-05,Elizabethhaven,Minor
A002398,2024-08-25,South Raymond,Moderate
A002399,2024-11-30,West Danielle,Moderate
A002400,2023-10-07,North Daniel,Severe
A002401,2024-08-11,Chavezburgh,Minor
A002402,2024-04-17,West Alexashire,Minor
A002403,2025-01-02,West Margaret,Minor
A002404,2023-10-08,Gilmorebury,Minor
A002405,2024-01-06,Johnmouth,Moderate
A002406,2023-02-20,South Kennethville,Severe
A002407,2023-11-17,New Yvette,Moderate
A002408,2023-08-13,North Brandon,Minor
A002409,2023-09-14,East Cheryl,Moderate
A002410,2024-06-15,Mooretown,Moderate
A002411,2023-05-17,Smithmouth,Moderate
A002412,2025-02-11,Port Danielle,Severe
A002413,2024-12-16,South Timothyland,Minor
A002414,2024-02-11,East Ericmouth,Minor
A002415,2024-04-01,Lisamouth,Minor
A002416,2023-10-26,Lake Kennethtown,Minor
A002417,2023-12-03,East Diana,Severe
A002418,2023-09-04,Goodwinshire,Moderate
A002419,2023-04-16,Marisamouth,Moderate
A002420,2023-04-07,Kimberlyville,Moderate
A002421,2023-12-11,Elliottfurt,Moderate
A002422,2023-11-11,Charlesfort,Minor
A002423,2023-10-20,Hodgesberg,Moderate
A002424,2023-10-31,North Nathanbury,Severe
A002425,2024-07-05,West Austintown,Moderate
A002426,2024-10-08,New Wendy,Moderate
A002427,2024-06-17,North Carla,Minor
A002428,2023-10-12,Jeffreyfort,Minor
A002429,2024-03-25,Guzmanview,Minor
A002430,2024-09-10,Lake Paulchester,Severe
A002431,2024-01-01,Port Justinburgh,Minor
A002432,2024-01-18,Lake Paul,Minor
A002433,2023-10-03,Proctorfort,Severe
A002434,2024-11-22,Port Maria,Severe
A002435,2024-11-18,Port Jasmine,Minor
A002436,2023-03-11,North Derek,Moderate
A002437,2024-11-08,Lake Deborahview,Moderate
A002438,2024-05-11,South Frankside,Moderate
A002439,2023-04-01,Ramosview,Minor
A002440,2023-06-27,Lake Jonathanfurt,Minor
A002441,2023-06-22,New Joy,Severe
A002442,2024-11-17,Josefurt,Minor
A002443,2023-03-06,Allenmouth,Minor
A002444,2024-10-28,Howellshire,Moderate
A002445,2023-07-11,New Wendy,Moderate
A002446,2024-04-06,Lake Aliceberg,Minor
A002447,2023-06-04,Lake Stephanieberg,Moderate
A002448,2023-06-06,Manningmouth,Moderate
A002449,2023-05-26,New Seth,Moderate
A002450,2024-06-14,Nathanburgh,Moderate
A002451,2024-09-04,Keithview,Moderate
A002452,2023-12-29,Lake Kevin,Severe
A002453,2023-09-08,Erinview,Moderate
A002454,2024-11-08,South Matthew,Severe
A002455,2024-12-29,Bakerfort,Moderate
A002456,2023-11-23,South Erika,Minor
A002457,2024-03-21,Bradleyborough,Moderate
A002458,2023-06-09,Jimenezview,Severe
A002459,2023-05-01,South Danielbury,Moderate
A002460,2023-12-20,South Rachel,Severe
A002461,2023-07-08,Abbottberg,Moderate
A002462,2023-03-06,West Christopherport,Moderate
A002463,2024-09-15,North Kelsey,Moderate
A002464,2024-06-09,Markton,Severe
A002465,2025-01-26,Johnville,Moderate
A002466,2024-01-03,Lake Beverlyshire,Moderate
A002467,2023-06-17,Port Adam,Minor
A002468,2023-08-14,Lake Wendyburgh,Severe
A002469,2023-07-28,Clementsburgh,Minor
A002470,2024-11-24,West Nancy,Severe
A002471,2023-03-13,New Kristina,Moderate
A002472,2023-07-02,Allenmouth,Severe
A002473,2025-01-09,Palmerville,Minor
A002474,2024-10-09,Kristenstad,Severe
A002475,2023-03-21,North Jenna,Moderate
A002476,2023-07-29,East Melissaborough,Severe
A002477,2024-08-01,North Ericberg,Severe
A002478,2023-02-21,East Carolton,Minor
A002479,2024-04-14,North Timothychester,Minor
A002480,2024-08-18,New Donna,Minor
A002481,2024-06-02,South John,Moderate
A002482,2023-09-25,Rayborough,Moderate
A002483,2023-05-17,West Derrick,Moderate
A002484,2025-02-07,Port Krystal,Severe
A002485,2025-01-14,Justinmouth,Severe
A002486,2023-03-22,West Zacharyland,Moderate
A002487,2023-09-18,North James,Minor
A002488,2023-09-26,Port Baileyview,Moderate
A002489,2024-03-08,New Seanchester,Severe
A002490,2023-07-01,South Olivia,Moderate
A002491,2023-06-20,Powellmouth,Minor
A002492,2023-03-07,North Heather,Severe
A002493,2024-04-23,Priceview,Severe
A002494,2024-08-26,North Alyssa,Minor
A002495,2023-06-14,Emilychester,Minor
A002496,2024-03-27,Lake Ronald,Moderate
A002497,2024-01-13,South Kimberlyshire,Severe
A002498,2024-09-26,Paulview,Moderate
A002499,2023-12-06,Troyville,Severe
A002500,2023-05-11,Crystalhaven,Minor
A002501,2024-09-23,Burketon,Severe
A002502,2023-06-06,South Victoriamouth,Minor
A002503,2024-09-12,Jenniferland,Moderate
A002504,2024-09-26,East Gregory,Moderate
A002505,2023-10-15,Allenmouth,Moderate
A002506,2023-07-27,Port Ashleyburgh,Minor
A002507,2023-10-04,North Dawnfurt,Moderate
A002508,2023-10-18,Maldonadostad,Severe
A002509,2024-10-04,New Scott,Moderate
A002510,2025-01-10,Stephenchester,Minor
A002511,2023-06-03,Elizabethchester,Minor
A002512,2024-07-10,Jimenezville,Moderate
A002513,2024-03-19,Port George,Moderate
A002514,2024-10-04,Lake Edward,Minor
A002515,2024-04-10,Loribury,Moderate
A002516,2025-01-31,Wrightton,Minor
A002517,2024-08-20,Millsland,Minor
A002518,2023-08-15,Lake Tiffanystad,Minor
A002519,2023-06-26,Port Dustinbury,Severe
A002520,2024-06-13,Lake Julieview,Minor
A002521,2025-02-10,Trevorborough,Minor
A002522,2024-02-11,Williamsonview,Severe
A002523,2024-06-04,Port Josephstad,Minor
A002524,2024-08-21,Port Jeromebury,Moderate
A002525,2024-09-24,Howellmouth,Moderate
A002526,2025-01-04,Lake Randallstad,Minor
A002527,2024-04-12,Lake Stephanie,Minor
A002528,2024-03-24,West Zachary,Severe
A002529,2024-08-08,New Lindseyfort,Minor
A002530,2023-11-17,Hawkinston,Severe
A002531,2024-05-11,North Samanthaburgh,Severe
A002532,2023-09-02,Johnsonmouth,Moderate
A002533,2023-06-07,West Melissa,Severe
A002534,2024-09-06,New John,Moderate
A002535,2023-03-16,Josephberg,Minor
A002536,2023-06-01,Port Dianeland,Severe
A002537,2024-01-18,Lynnside,Moderate
A002538,2024-08-23,Stevechester,Moderate
A002539,2025-01-02,South Janettown,Moderate
A002540,2024-12-17,North Jack,Minor
A002541,2024-12-14,East Melissaberg,Moderate
A002542,2024-12-02,New Christopher,Severe
A002543,2023-03-04,Melissahaven,Moderate
A002544,2024-06-15,Davisberg,Severe
A002545,2024-04-30,Tuckerville,Severe
A002546,2023-09-03,West Cherylchester,Moderate
A002547,2024-12-18,Port Pamela,Minor
A002548,2024-04-22,East Teresa,Minor
A002549,2024-03-10,Justinfort,Severe
A002550,2025-01-25,Hernandezfort,Minor
A002551,2023-12-09,East Robertburgh,Minor
A002552,2023-05-29,Petersonhaven,Moderate
A002553,2023-10-14,New Kenneth,Minor
A002554,2023-12-04,Michaelmouth,Severe
A002555,2024-01-02,Perkinsville,Moderate
A002556,2024-03-03,North Anthonyville,Severe
A002557,2024-03-23,New Amandashire,Minor
A002558,2024-04-01,Port Matthew,Minor
A002559,2023-10-26,South Barbara,Severe
A002560,2023-10-23,Michaelburgh,Minor
A002561,2023-10-31,Lindseyborough,Minor
A002562,2023-03-23,South Jonstad,Minor
A002563,2023-04-19,Haleton,Severe
A002564,2024-05-10,New Veronica,Severe
A002565,2023-06-30,South Beckymouth,Moderate
A002566,2023-04-14,South Margaretbury,Minor
A002567,2024-07-14,Petersside,Severe
A002568,2024-02-20,Mariahaven,Minor
A002569,2025-01-20,Yvetteton,Moderate
A002570,2024-10-17,New Robert,Moderate
A002571,2023-07-02,West Victoriaport,Minor
A002572,2025-02-21,New Anthony,Severe
A002573,2024-04-16,Port Patrick,Severe
A002574,2023-08-31,Lake Stacymouth,Moderate
A002575,2024-12-08,Cobbfurt,Moderate
A002576,2024-08-04,Gonzalesborough,Severe
A002577,2023-05-04,Russellfurt,Minor
A002578,2024-11-05,New Clintonburgh,Minor
A002579,2023-12-01,East Kelly,Severe
A002580,2023-11-02,East Sherihaven,Severe
A002581,2024-06-18,Goodmanstad,Minor
A002582,2023-07-26,Wandaland,Moderate
A002583,2023-10-16,New Lisa,Minor
A002584,2024-03-02,East Edwardton,Minor
A002585,2024-10-05,East Amanda,Moderate
A002586,2023-04-26,Mckenziefurt,Severe
A002587,2024-01-26,South Robert,Moderate
A002588,2025-02-05,North Craighaven,Severe
A002589,2024-03-11,West Briana,Severe
A002590,2024-09-14,North Lisa,Minor
A002591,2024-10-21,East Valerie,Minor
A002592,2023-12-25,Christinaland,Minor
A002593,2024-01-12,Smithshire,Minor
A002594,2023-03-14,Lake Amandahaven,Minor
A002595,2023-09-13,Lake Tiffanybury,Severe
A002596,2025-01-18,Timothyside,Moderate
A002597,2023-07-09,Annmouth,Moderate
A002598,2024-03-03,Lewismouth,Minor
A002599,2024-05-18,Andrewshire,Minor
A002600,2023-08-17,Michaelbury,Severe
A002601,2024-03-06,New Ambershire,Moderate
A002602,2024-08-10,Charlottemouth,Moderate
A002603,2024-11-26,Port Audreyland,Severe
A002604,2024-09-14,Port Richardmouth,Moderate
A002605,2024-11-06,Conleychester,Moderate
A002606,2024-06-21,Russellburgh,Minor
A002607,2024-04-15,Lake Jordan,Severe
A002608,2023-10-11,Carrollburgh,Severe
A002609,2023-04-15,South Harryton,Minor
A002610,2023-03-24,Port Robertfort,Moderate
A002611,2024-09-12,Robinsonstad,Moderate
A002612,2023-07-26,New Jeremy,Minor
A002613,2024-03-17,Valeriemouth,Moderate
A002614,2024-03-28,East Jamesland,Severe
A002615,2025-01-19,East Ethanfurt,Moderate
A002616,2024-06-11,West Dannyport,Severe
A002617,2023-07-24,Yangton,Minor
A002618,2024-03-09,North Amber,Moderate
A002619,2023-06-17,New Nicole,Severe
A002620,2024-01-12,West Anitaton,Severe
A002621,2023-11-26,Myersville,Moderate
A002622,2024-07-30,Hernandezville,Severe
A002623,2024-04-23,West Jessicaburgh,Moderate
A002624,2024-07-04,Port Kathryn,Moderate
A002625,2023-04-23,Wilkinsonfort,Moderate
A002626,2023-07-02,Karenbury,Minor
A002627,2024-08-10,East Tim,Moderate
A002628,2023-04-24,Gonzalesville,Minor
A002629,2023-08-07,Jamesmouth,Severe
A002630,2024-02-26,Port Lauriemouth,Minor
A002631,2024-10-23,Justinmouth,Moderate
A002632,2024-04-04,Johnsonfort,Severe
A002633,2023-10-14,Mclaughlinbury,Moderate
A002634,2024-06-14,Rogershaven,Minor
A002635,2024-11-22,South Kelly,Moderate
A002636,2023-08-18,Port Karen,Severe
A002637,2024-03-30,East Christopherborough,Severe
A002638,2024-10-24,Annemouth,Moderate
A002639,2023-11-09,Jeffreymouth,Severe
A002640,2024-01-08,West Michael,Severe
A002641,2024-06-30,Victorshire,Moderate
A002642,2023-03-14,Port Davidland,Moderate
A002643,2024-06-22,East Williamchester,Minor
A002644,2023-08-13,Port Amberhaven,Minor
A002645,2023-05-15,Edwardport,Severe
A002646,2023-10-10,North Madisonhaven,Severe
A002647,2024-05-19,North Jasminhaven,Minor
A002648,2024-01-08,New Mauricefort,Minor
A002649,2024-11-03,New David,Minor
A002650,2024-03-17,East John,Minor
A002651,2024-05-16,New Johnport,Severe
A002652,2023-11-17,Carterside,Severe
A002653,2024-12-22,Port Jeremyfort,Minor
A002654,2023-09-05,Jenniferton,Moderate
A002655,2023-09-25,Williamston,Moderate
A002656,2025-01-19,South Coreyfurt,Severe
A002657,2023-03-31,New Karen,Severe
A002658,2025-01-08,Duncanville,Moderate
A002659,2023-07-16,New Jennifer,Moderate
A002660,2024-07-23,East Gregoryborough,Severe
A002661,2023-09-26,West Thomasbury,Severe
A002662,2023-12-27,West Frederick,Moderate
A002663,2024-12-11,Brittanyton,Moderate
A002664,2023-06-19,Fisherville,Moderate
A002665,2025-02-11,Pattersontown,Severe
A002666,2024-06-07,North Eric,Severe
A002667,2024-07-24,Henrybury,Moderate
A002668,2023-07-07,Port Vincent,Minor
A002669,2024-08-15,Lake Mary,Moderate
A002670,2025-01-31,Port Karen,Moderate
A002671,2023-11-18,Nicoleshire,Minor
A002672,2023-04-14,Christianmouth,Moderate
A002673,2023-08-24,Ernestville,Severe
A002674,2023-07-11,Andersonmouth,Moderate
A002675,2024-01-07,Chandlershire,Minor
A002676,2025-02-10,East Amy,Minor
A002677,2023-07-09,Bryantberg,Severe
A002678,2023-06-06,North Thomas,Minor
A002679,2025-02-13,South Hector,Moderate
A002680,2024-12-03,Rodriguezshire,Minor
A002681,2023-10-24,Jacksonmouth,Minor
A002682,2024-11-01,Deniseport,Moderate
A002683,2024-06-20,Lake Joycefurt,Severe
A002684,2024-12-08,New Mary,Severe
A002685,2024-07-15,Stephaniestad,Minor
A002686,2023-10-23,Greenbury,Moderate
A002687,2024-10-28,Bradyfort,Severe
A002688,2024-05-03,Donnachester,Moderate
A002689,2024-01-01,Sabrinaside,Minor
A002690,2025-01-05,Nguyenchester,Moderate
A002691,2024-09-01,South Rachelfort,Moderate
A002692,2023-03-26,Port Nathaniel,Moderate
A002693,2023-10-18,West Caitlyn,Severe
A002694,2024-04-16,Suzanneville,Moderate
A002695,2023-07-25,Port Michellebury,Moderate
A002696,2025-01-05,Shaffershire,Minor
A002697,2024-10-18,Lake Andrefort,Minor
A002698,2024-04-12,South Josephfort,Minor
A002699,2024-08-27,Clarkemouth,Minor
A002700,2024-06-26,Robertside,Severe
A002701,2024-07-10,East William,Minor
A002702,2024-06-15,North James,Moderate
A002703,2023-09-04,Port Karenmouth,Minor
A002704,2024-07-09,Whiteport,Moderate
A002705,2025-01-04,Lake Cynthia,Minor
A002706,2023-05-19,Welchbury,Minor
A002707,2024-08-20,Samuelfort,Moderate
A002708,2023-11-30,Hamiltonfort,Severe
A002709,2024-11-26,East Jenniferberg,Minor
A002710,2024-09-11,North David,Moderate
A002711,2023-12-25,North Henrybury,Severe
A002712,2023-09-06,Brownbury,Moderate
A002713,2023-05-05,Riggsside,Moderate
A002714,2023-05-04,West Rodney,Moderate
A002715,2023-09-14,Mitchellton,Minor
A002716,2024-10-26,West Johnborough,Severe
A002717,2023-05-30,South Xavier,Minor
A002718,2024-12-23,New Vanessaville,Severe
A002719,2024-06-14,Butlerstad,Moderate
A002720,2024-08-31,Rachelburgh,Minor
A002721,2024-10-11,Franciscoton,Moderate
A002722,2023-05-25,New Zacharyland,Moderate
A002723,2024-01-07,Catherineview,Minor
A002724,2024-07-21,Hendersonchester,Moderate
A002725,2023-07-23,Williamsberg,Severe
A002726,2023-07-07,East Brendamouth,Severe
A002727,2023-06-06,North Williefort,Severe
A002728,2023-07-03,Danielview,Moderate
A002729,2024-09-12,Colinview,Minor
A002730,2024-09-04,East Joshuaside,Minor
A002731,2023-11-19,Robertsonfort,Moderate
A002732,2023-05-22,Andrewside,Severe
A002733,2024-11-07,Port Tracy,Moderate
A002734,2024-01-03,Lake Nicolemouth,Moderate
A002735,2023-06-09,Carolport,Severe
A002736,2023-11-27,Fitzgeraldshire,Severe
A002737,2024-10-05,Valenciafort,Severe
A002738,2024-07-08,Lake Matthewberg,Severe
A002739,2024-10-16,New Lauramouth,Minor
A002740,2023-04-27,Adamsfurt,Severe
A002741,2023-08-05,Tiffanyfort,Severe
A002742,2024-08-23,Brookemouth,Moderate
A002743,2024-04-16,Norrisberg,Moderate
A002744,2024-09-09,Clarkstad,Moderate
A002745,2023-09-21,New Jeanne,Minor
A002746,2025-01-18,South John,Moderate
A002747,2024-12-19,Wrightmouth,Moderate
A002748,2024-01-05,Petersonfurt,Minor
A002749,2023-03-23,Washingtonside,Moderate
A002750,2025-01-09,Nancyshire,Severe
A002751,2023-08-21,North Derek,Moderate
A002752,2024-02-09,West Jenniferland,Moderate
A002753,2024-10-15,Charlenefort,Moderate
A002754,2024-09-05,Lewisburgh,Minor
A002755,2023-08-22,Mosestown,Severe
A002756,2024-03-12,Bakerview,Severe
A002757,2024-05-27,Danielland,Severe
A002758,2024-12-31,Amberton,Severe
A002759,2024-10-31,East Terriport,Severe
A002760,2024-01-17,Port Andrea,Moderate
A002761,2024-07-03,Nicolestad,Severe
A002762,2025-01-24,Collierberg,Moderate
A002763,2023-10-27,Atkinston,Minor
A002764,2024-08-14,Lake Laura,Moderate
A002765,2024-03-10,Hansonfort,Severe
A002766,2024-01-04,Chelseabury,Minor
A002767,2024-07-14,Lake Richard,Severe
A002768,2024-06-22,Patrickmouth,Moderate
A002769,2024-10-06,North Davidstad,Moderate
A002770,2023-09-08,Sellersfort,Moderate
A002771,2024-12-09,East Tyler,Moderate
A002772,2024-02-10,Sanchezborough,Severe
A002773,2025-02-04,South Alanhaven,Severe
A002774,2024-04-26,Lake Ericchester,Moderate
A002775,2024-07-24,Amandaborough,Severe
A002776,2024-04-02,New Amandafurt,Severe
A002777,2024-09-25,Lake Juliestad,Severe
A002778,2023-07-30,Andersonport,Moderate
A002779,2024-07-02,South Courtneyberg,Minor
A002780,2025-02-18,West Nicholas,Moderate
A002781,2024-03-21,Flemington,Minor
A002782,2023-11-25,Port Amy,Moderate
A002783,2023-09-29,South Benjaminstad,Moderate
A002784,2024-11-19,Johnmouth,Minor
A002785,2023-08-08,Pereztown,Severe
A002786,2024-12-19,Bradleyhaven,Minor
A002787,2023-05-01,Lake Todd,Moderate
A002788,2023-12-26,New Robertmouth,Minor
A002789,2023-11-12,Williamsmouth,Minor
A002790,2024-06-27,Michaelville,Moderate
A002791,2023-07-03,Cindybury,Severe
A002792,2024-03-14,Greenberg,Severe
A002793,2025-02-01,Carrollville,Minor
A002794,2023-06-10,North Robinbury,Severe
A002795,2023-09-30,Port Meganbury,Minor
A002796,2023-08-17,Donnaview,Moderate
A002797,2024-09-06,New Dawnport,Minor
A002798,2024-06-18,Lopezstad,Moderate
A002799,2023-02-27,Michaelstad,Moderate
A002800,2024-11-06,North Joshua,Severe
A002801,2024-06-16,Patriciahaven,Severe
A002802,2024-12-22,New Stephen,Severe
A002803,2024-04-27,Gilbertshire,Moderate
A002804,2024-04-06,Lisahaven,Severe
A002805,2024-06-02,South Amy,Severe
A002806,2024-05-26,Lynchbury,Minor
A002807,2024-08-01,Manuelville,Severe
A002808,2024-09-24,Port Michelechester,Moderate
A002809,2023-04-20,Michellehaven,Minor
A002810,2023-05-06,Lake Haley,Moderate
A002811,2023-12-17,Robertmouth,Moderate
A002812,2023-03-02,Smithshire,Minor
A002813,2024-05-23,Jamestown,Severe
A002814,2023-08-13,Lake Sarahport,Severe
A002815,2023-05-19,South Robert,Moderate
A002816,2024-10-25,Graceberg,Moderate
A002817,2024-11-28,South Vincentview,Moderate
A002818,2024-09-25,East Lindsey,Minor
A002819,2023-09-06,Gravesport,Minor
A002820,2023-02-25,Jennifermouth,Minor
A002821,2023-03-11,Colemanstad,Severe
A002822,2023-12-13,West Amanda,Minor
A002823,2023-07-17,New Scott,Minor
A002824,2024-01-15,Grossbury,Moderate
A002825,2024-10-20,Lake Brandonville,Severe
A002826,2024-05-19,New Robertchester,Moderate
A002827,2024-02-14,North Nicole,Severe
A002828,2025-02-01,New Pamela,Moderate
A002829,2024-09-26,Sabrinaside,Moderate
A002830,2023-10-27,East James,Severe
A002831,2024-01-07,West David,Moderate
A002832,2023-08-29,Shawnshire,Severe
A002833,2023-04-16,North Aaron,Severe
A002834,2023-09-21,Veronicaview,Minor
A002835,2024-05-10,North Pamela,Moderate
A002836,2023-12-11,Ricechester,Moderate
A002837,2025-01-15,New Sandra,Severe
A002838,2023-09-04,Lake Patriciaview,Minor
A002839,2024-06-01,Port Donald,Severe
A002840,2023-08-31,West Jeremymouth,Minor
A002841,2024-04-10,West Christianport,Minor
A002842,2024-09-27,Lake Jay,Severe
A002843,2024-12-25,South Leslieburgh,Minor
A002844,2023-09-06,Port Katherine,Moderate
A002845,2023-03-18,Johnside,Severe
A002846,2025-02-15,West Stephanieborough,Moderate
A002847,2024-08-21,South Shawn,Moderate
A002848,2023-02-28,Montesport,Moderate
A002849,2024-08-29,Lake Ethan,Moderate
A002850,2024-10-29,Williamborough,Severe
A002851,2024-10-20,Lake Jillianshire,Severe
A002852,2024-10-03,Lake Jenniferville,Minor
A002853,2024-05-24,Waterstown,Moderate
A002854,2023-04-14,Feliciahaven,Moderate
A002855,2024-10-12,Angelaberg,Minor
A002856,2023-12-10,Palmerchester,Severe
A002857,2023-03-20,Lake Timothy,Moderate
A002858,2023-05-14,Lake Lauraborough,Minor
A002859,2023-06-14,New Terri,Minor
A002860,2023-04-25,Lake Tarashire,Moderate
A002861,2023-05-30,Richardbury,Minor
A002862,2024-05-29,East Michelle,Minor
A002863,2023-07-18,West Loganfurt,Minor
A002864,2023-03-21,Willisborough,Minor
A002865,2024-04-17,Marymouth,Minor
A002866,2024-10-11,North Erica,Severe
A002867,2024-04-05,New Beverlyburgh,Minor
A002868,2024-05-24,Gracemouth,Moderate
A002869,2024-11-09,West Anthonytown,Moderate
A002870,2024-05-27,Michaelstad,Severe
A002871,2024-04-05,Crosstown,Minor
A002872,2023-08-29,West Linda,Severe
A002873,2023-07-01,Danielleburgh,Moderate
A002874,2024-11-24,Brownport,Severe
A002875,2024-01-13,Wrightmouth,Minor
A002876,2024-11-28,West Charles,Minor
A002877,2023-02-25,Port Joshuaville,Minor
A002878,2023-12-19,Arnoldtown,Severe
A002879,2023-12-12,Lopezstad,Moderate
A002880,2023-08-06,Brendaborough,Severe
A002881,2023-04-25,Martinview,Moderate
A002882,2024-07-11,Phillipsborough,Minor
A002883,2024-06-24,New Stephanie,Moderate
A002884,2024-05-16,Loriton,Minor
A002885,2024-02-12,North Staceyhaven,Minor
A002886,2024-04-20,West Sherry,Minor
A002887,2025-02-23,New William,Moderate
A002888,2024-04-13,South Theresa,Minor
A002889,2023-07-04,Williamside,Minor
A002890,2024-07-02,Anneburgh,Minor
A002891,2024-02-15,Heatherstad,Severe
A002892,2023-08-06,South Sharonhaven,Minor
A002893,2024-12-09,East Kelly,Severe
A002894,2023-11-08,Sullivanborough,Moderate
A002895,2024-06-23,Jackside,Moderate
A002896,2024-11-27,New Markfurt,Minor
A002897,2024-11-26,Andrewsland,Severe
A002898,2023-07-03,South Steven,Minor
A002899,2024-10-18,West Davidburgh,Moderate
A002900,2024-06-18,East William,Severe
A002901,2025-02-01,Stewartbury,Moderate
A002902,2023-11-12,Hernandezton,Minor
A002903,2024-10-15,Stephenfurt,Moderate
A002904,2024-12-03,Sullivanstad,Severe
A002905,2023-06-02,New Andrew,Minor
A002906,2024-01-03,Nancytown,Severe
A002907,2024-07-19,South Lisa,Moderate
A002908,2024-10-02,New Cassidy,Severe
A002909,2023-07-23,East David,Minor
A002910,2023-05-21,New Charles,Severe
A002911,2024-08-27,Port Chadburgh,Minor
A002912,2023-09-04,Millerville,Minor
A002913,2024-11-18,North Barbara,Severe
A002914,2023-10-07,South Laurastad,Minor
A002915,2024-06-29,West Isabellashire,Moderate
A002916,2023-04-23,Joshuaton,Moderate
A002917,2023-07-13,Coxside,Minor
A002918,2024-12-02,Jenniferland,Moderate
A002919,2023-07-19,New Travis,Minor
A002920,2024-02-01,North Tammy,Moderate
A002921,2024-01-14,Sloanstad,Moderate
A002922,2023-04-25,North Jacquelineburgh,Minor
A002923,2023-06-30,West Cameronfort,Severe
A002924,2024-08-10,Lake Lorishire,Moderate
A002925,2023-07-04,Kleinborough,Minor
A002926,2024-11-17,South Jennifer,Severe
A002927,2023-03-05,Lake Audrey,Severe
A002928,2024-10-04,Kevinborough,Severe
A002929,2023-07-13,East Erik,Minor
A002930,2024-07-22,Powellville,Severe
A002931,2025-02-20,Lorettamouth,Severe
A002932,2023-08-12,Lopezview,Moderate
A002933,2024-11-16,New Jameshaven,Minor
A002934,2023-12-07,West Matthewfurt,Minor
A002935,2024-10-14,Evanshaven,Severe
A002936,2024-05-06,Colemanton,Moderate
A002937,2023-08-14,North John,Moderate
A002938,2024-04-16,North Justinville,Moderate
A002939,2024-02-21,Christopherton,Minor
A002940,2024-09-08,Johnsonborough,Severe
A002941,2023-05-18,South Michaelberg,Moderate
A002942,2023-04-09,Knappshire,Minor
A002943,2024-04-08,Port Denisefurt,Minor
A002944,2024-04-08,East Ryanview,Severe
A002945,2024-01-22,Bakermouth,Moderate
A002946,2023-12-15,Shannonbury,Moderate
A002947,2024-10-27,Katherinemouth,Moderate
A002948,2025-02-02,Horneberg,Minor
A002949,2024-09-19,Port Kellyburgh,Severe
A002950,2024-09-17,Duranshire,Minor
A002951,2024-03-15,South Debra,Severe
A002952,2023-03-11,North Josephbury,Minor
A002953,2023-12-07,West Elizabethview,Minor
A002954,2024-05-05,East Yvonne,Moderate
A002955,2024-05-12,Jonesburgh,Moderate
A002956,2023-07-11,Richardsonside,Moderate
A002957,2025-01-09,Ashleyburgh,Minor
A002958,2023-11-02,New Timothy,Severe
A002959,2023-04-19,Spencerton,Minor
A002960,2025-01-09,West Craigstad,Moderate
A002961,2023-10-09,Lake Valerie,Moderate
A002962,2023-06-30,East Dan,Moderate
A002963,2023-04-14,Collierberg,Moderate
A002964,2024-12-08,Pamelaville,Minor
A002965,2023-07-07,New Douglastown,Minor
